account_id,last_metric_time,like_per_month,newfriend_per_month,post_per_month,adview_feed_per_month,dislike_per_month,unfriend_per_month,message_per_month,reply_per_month,account_tenure
55,2020-05-10,132.0,19.0,80.0,78.0,11.0,1.0,4.0,0.0,126.0
56,2020-05-10,1526.0,91.0,475.0,845.0,82.0,0.0,91.0,12.0,116.0
57,2020-05-10,25.0,0.0,31.0,21.0,20.0,0.0,31.0,6.0,126.0
58,2020-05-10,41.0,2.0,7.0,18.0,1.0,0.0,28.0,9.0,106.0
59,2020-05-10,87.0,11.0,69.0,151.0,17.0,0.0,14.0,8.0,120.0
60,2020-05-10,2460.0,17.0,89.0,97.0,7.0,0.0,26.0,5.0,128.0
61,2020-05-10,31.0,24.0,80.0,31.0,19.0,2.0,20.0,6.0,110.0
63,2020-05-10,69.0,4.0,31.0,32.0,63.0,0.0,190.0,90.0,109.0
64,2020-05-10,73.0,5.0,115.0,28.0,13.0,0.0,124.0,49.0,122.0
65,2020-05-10,14.0,2.0,7.0,5.0,16.0,0.0,1.0,0.0,111.0
66,2020-05-10,12.0,0.0,3.0,0.0,0.0,0.0,30.0,6.0,104.0
68,2020-05-10,70.0,7.0,16.0,21.0,65.0,0.0,60.0,10.0,104.0
69,2020-05-10,21.0,7.0,15.0,11.0,2.0,1.0,17.0,7.0,122.0
70,2020-05-10,71.0,5.0,36.0,10.0,9.0,1.0,102.0,59.0,126.0
71,2020-05-10,39.0,4.0,69.0,6.0,9.0,0.0,522.0,218.0,117.0
73,2020-05-10,94.0,1.0,129.0,102.0,14.0,1.0,96.0,49.0,124.0
74,2020-05-10,92.0,10.0,9.0,22.0,15.0,0.0,13.0,2.0,107.0
75,2020-05-10,33.0,6.0,18.0,43.0,23.0,2.0,98.0,39.0,106.0
76,2020-05-10,24.0,1.0,11.0,35.0,5.0,0.0,26.0,5.0,127.0
77,2020-05-10,145.0,12.0,40.0,22.0,20.0,0.0,65.0,23.0,107.0
78,2020-05-10,12.0,1.0,12.0,4.0,2.0,1.0,23.0,4.0,125.0
79,2020-05-10,127.0,18.0,15.0,115.0,17.0,0.0,53.0,8.0,110.0
80,2020-05-10,22.0,3.0,9.0,29.0,0.0,0.0,10.0,0.0,106.0
82,2020-05-10,12.0,4.0,17.0,18.0,6.0,0.0,9.0,5.0,118.0
83,2020-05-10,602.0,26.0,18.0,74.0,58.0,0.0,76.0,18.0,242.0
86,2020-05-10,48.0,1.0,18.0,9.0,1.0,0.0,1.0,0.0,110.0
87,2020-05-10,44.0,3.0,26.0,13.0,3.0,0.0,19.0,1.0,115.0
88,2020-05-10,202.0,12.0,73.0,69.0,8.0,0.0,18.0,4.0,120.0
89,2020-05-10,16.0,8.0,18.0,5.0,5.0,2.0,17.0,22.0,120.0
90,2020-05-10,21.0,5.0,5.0,5.0,1.0,0.0,7.0,1.0,119.0
91,2020-05-10,9.0,3.0,3.0,1.0,0.0,0.0,6.0,1.0,124.0
92,2020-05-10,37.0,2.0,19.0,8.0,11.0,1.0,34.0,19.0,108.0
93,2020-05-10,168.0,12.0,88.0,52.0,30.0,2.0,0.0,0.0,242.0
94,2020-05-10,66.0,13.0,61.0,42.0,32.0,1.0,64.0,28.0,111.0
96,2020-05-10,4.0,1.0,0.0,2.0,13.0,0.0,567.0,242.0,108.0
97,2020-05-10,55.0,8.0,44.0,49.0,21.0,0.0,17.0,3.0,105.0
98,2020-05-10,44.0,2.0,54.0,36.0,2.0,0.0,2.0,2.0,104.0
99,2020-05-10,22.0,5.0,14.0,43.0,5.0,0.0,0.0,1.0,107.0
100,2020-05-10,2.0,2.0,25.0,2.0,16.0,0.0,17.0,5.0,110.0
101,2020-05-10,31.0,6.0,22.0,18.0,1.0,0.0,40.0,16.0,117.0
103,2020-05-10,47.0,3.0,18.0,29.0,16.0,0.0,27.0,3.0,124.0
104,2020-05-10,19.0,2.0,10.0,17.0,4.0,0.0,138.0,50.0,112.0
105,2020-05-10,168.0,18.0,108.0,94.0,5.0,2.0,9.0,0.0,105.0
106,2020-05-10,16.0,7.0,31.0,22.0,3.0,0.0,29.0,12.0,125.0
107,2020-05-10,55.0,6.0,35.0,211.0,19.0,0.0,23.0,3.0,103.0
110,2020-05-10,121.0,2.0,15.0,23.0,5.0,0.0,59.0,33.0,124.0
111,2020-05-10,323.0,35.0,86.0,66.0,80.0,0.0,26.0,4.0,129.0
113,2020-05-10,16.0,1.0,4.0,16.0,2.0,0.0,420.0,31.0,120.0
114,2020-05-10,27.0,5.0,30.0,32.0,28.0,0.0,343.0,107.0,118.0
115,2020-05-10,28.0,2.0,6.0,20.0,5.0,1.0,28.0,11.0,119.0
116,2020-05-10,19.0,3.0,6.0,12.0,8.0,0.0,69.0,34.0,129.0
117,2020-05-10,35.0,1.0,4.0,4.0,11.0,1.0,95.0,26.0,124.0
118,2020-05-10,40.0,1.0,49.0,18.0,12.0,0.0,1.0,0.0,110.0
119,2020-05-10,17.0,2.0,11.0,42.0,5.0,0.0,58.0,29.0,119.0
120,2020-05-10,154.0,9.0,36.0,85.0,10.0,1.0,190.0,105.0,109.0
122,2020-05-10,1075.0,20.0,180.0,120.0,47.0,0.0,59.0,33.0,106.0
123,2020-05-10,16.0,1.0,21.0,7.0,3.0,0.0,34.0,6.0,123.0
124,2020-05-10,88.0,9.0,62.0,89.0,14.0,0.0,1.0,1.0,117.0
125,2020-05-10,79.0,7.0,33.0,19.0,1.0,0.0,13.0,3.0,120.0
126,2020-05-10,585.0,30.0,71.0,75.0,9.0,0.0,18.0,9.0,104.0
127,2020-05-10,104.0,4.0,11.0,3.0,7.0,0.0,171.0,58.0,105.0
129,2020-05-10,93.0,4.0,20.0,153.0,15.0,0.0,27.0,4.0,108.0
130,2020-05-10,47.0,7.0,20.0,25.0,22.0,0.0,34.0,14.0,123.0
131,2020-05-10,25.0,1.0,9.0,8.0,30.0,0.0,4.0,1.0,130.0
132,2020-05-10,72.0,0.0,26.0,11.0,13.0,0.0,52.0,27.0,128.0
133,2020-05-10,34.0,2.0,26.0,18.0,15.0,0.0,65.0,8.0,129.0
134,2020-05-10,214.0,29.0,91.0,376.0,126.0,0.0,5.0,3.0,106.0
135,2020-05-10,38.0,3.0,14.0,48.0,9.0,1.0,13.0,17.0,107.0
137,2020-05-10,414.0,11.0,121.0,49.0,31.0,1.0,1902.0,391.0,115.0
138,2020-05-10,48.0,3.0,32.0,39.0,5.0,0.0,2.0,0.0,116.0
139,2020-05-10,32.0,9.0,18.0,35.0,8.0,0.0,25.0,8.0,107.0
140,2020-05-10,12.0,1.0,5.0,1.0,5.0,0.0,33.0,4.0,105.0
142,2020-05-10,25.0,7.0,42.0,29.0,29.0,0.0,9.0,9.0,103.0
143,2020-05-10,177.0,8.0,15.0,13.0,12.0,0.0,62.0,27.0,122.0
144,2020-05-10,0.0,0.0,3.0,2.0,1.0,2.0,11.0,8.0,111.0
145,2020-05-10,2.0,1.0,4.0,0.0,2.0,0.0,35.0,6.0,109.0
146,2020-05-10,37.0,5.0,22.0,24.0,1.0,0.0,15.0,1.0,113.0
149,2020-05-10,93.0,5.0,16.0,29.0,11.0,1.0,78.0,17.0,116.0
150,2020-05-10,82.0,2.0,13.0,12.0,26.0,0.0,49.0,11.0,111.0
152,2020-05-10,10.0,2.0,8.0,9.0,24.0,1.0,62.0,34.0,105.0
153,2020-05-10,6.0,0.0,9.0,6.0,3.0,1.0,20.0,10.0,110.0
154,2020-05-10,17.0,7.0,17.0,28.0,0.0,0.0,339.0,148.0,104.0
155,2020-05-10,132.0,10.0,39.0,98.0,13.0,1.0,10.0,8.0,119.0
156,2020-05-10,195.0,7.0,68.0,61.0,14.0,3.0,136.0,50.0,117.0
157,2020-05-10,32.0,2.0,10.0,36.0,7.0,0.0,8.0,1.0,129.0
158,2020-05-10,69.0,8.0,41.0,41.0,4.0,0.0,6.0,1.0,120.0
160,2020-05-10,15.0,8.0,23.0,37.0,6.0,1.0,204.0,59.0,104.0
163,2020-05-10,30.0,12.0,30.0,43.0,8.0,0.0,45.0,25.0,102.0
164,2020-05-10,24.0,6.0,1.0,10.0,16.0,1.0,33.0,18.0,101.0
165,2020-05-10,89.0,4.0,16.0,55.0,1.0,1.0,15.0,7.0,115.0
166,2020-05-10,84.0,3.0,75.0,5.0,12.0,0.0,92.0,17.0,126.0
167,2020-05-10,20.0,7.0,56.0,22.0,2.0,0.0,24.0,8.0,129.0
168,2020-05-10,176.0,17.0,55.0,158.0,22.0,0.0,16.0,1.0,128.0
169,2020-05-10,110.0,8.0,49.0,23.0,5.0,0.0,22.0,7.0,106.0
171,2020-05-10,76.0,19.0,36.0,42.0,29.0,0.0,29.0,3.0,125.0
172,2020-05-10,23.0,2.0,9.0,12.0,5.0,0.0,48.0,26.0,126.0
174,2020-05-10,18.0,2.0,11.0,2.0,11.0,2.0,24.0,2.0,110.0
175,2020-05-10,28.0,6.0,3.0,4.0,9.0,0.0,190.0,68.0,122.0
176,2020-05-10,236.0,8.0,233.0,68.0,12.0,0.0,51.0,6.0,122.0
177,2020-05-10,78.0,8.0,127.0,40.0,7.0,2.0,4.0,2.0,127.0
178,2020-05-10,34.0,9.0,8.0,16.0,23.0,0.0,26.0,17.0,107.0
179,2020-05-10,189.0,6.0,36.0,17.0,29.0,0.0,19.0,7.0,122.0
180,2020-05-10,167.0,14.0,365.0,192.0,8.0,1.0,167.0,59.0,111.0
181,2020-05-10,169.0,9.0,99.0,53.0,19.0,0.0,125.0,49.0,100.0
182,2020-05-10,42.0,3.0,7.0,21.0,4.0,0.0,94.0,38.0,123.0
183,2020-05-10,46.0,1.0,42.0,9.0,14.0,1.0,27.0,15.0,117.0
186,2020-05-10,73.0,5.0,35.0,18.0,6.0,0.0,13.0,8.0,128.0
187,2020-05-10,50.0,22.0,19.0,25.0,13.0,0.0,6.0,1.0,117.0
188,2020-05-10,114.0,5.0,95.0,22.0,21.0,0.0,33.0,23.0,102.0
189,2020-05-10,74.0,6.0,47.0,63.0,7.0,0.0,35.0,5.0,105.0
191,2020-05-10,39.0,5.0,14.0,14.0,93.0,0.0,6.0,0.0,128.0
192,2020-05-10,17.0,2.0,5.0,16.0,5.0,0.0,156.0,23.0,109.0
193,2020-05-10,261.0,2.0,32.0,12.0,5.0,0.0,15.0,10.0,112.0
195,2020-05-10,163.0,6.0,16.0,17.0,18.0,0.0,14.0,8.0,126.0
196,2020-05-10,118.0,5.0,18.0,4.0,6.0,1.0,147.0,57.0,103.0
197,2020-05-10,30.0,2.0,16.0,14.0,6.0,1.0,13.0,4.0,128.0
198,2020-05-10,119.0,4.0,146.0,17.0,33.0,0.0,13.0,4.0,108.0
199,2020-05-10,29.0,1.0,16.0,14.0,11.0,0.0,23.0,2.0,118.0
200,2020-05-10,37.0,4.0,97.0,28.0,14.0,1.0,212.0,78.0,108.0
201,2020-05-10,146.0,6.0,44.0,18.0,14.0,1.0,0.0,1.0,114.0
202,2020-05-10,50.0,9.0,24.0,16.0,3.0,0.0,1.0,1.0,118.0
203,2020-05-10,72.0,5.0,63.0,38.0,6.0,0.0,11.0,6.0,103.0
204,2020-05-10,12.0,6.0,10.0,12.0,9.0,0.0,87.0,21.0,130.0
206,2020-05-10,581.0,10.0,80.0,60.0,35.0,0.0,202.0,136.0,126.0
207,2020-05-10,61.0,7.0,38.0,14.0,8.0,0.0,31.0,14.0,102.0
209,2020-05-10,62.0,16.0,2.0,51.0,49.0,0.0,14.0,4.0,109.0
210,2020-05-10,61.0,1.0,28.0,10.0,10.0,0.0,72.0,13.0,127.0
211,2020-05-10,15.0,2.0,21.0,0.0,4.0,0.0,23.0,4.0,108.0
213,2020-05-10,148.0,3.0,28.0,44.0,8.0,0.0,32.0,14.0,123.0
215,2020-05-10,67.0,3.0,11.0,1.0,10.0,0.0,27.0,8.0,113.0
216,2020-05-10,136.0,20.0,56.0,280.0,36.0,2.0,10.0,6.0,242.0
217,2020-05-10,19.0,2.0,15.0,4.0,3.0,0.0,104.0,61.0,100.0
218,2020-05-10,3.0,1.0,10.0,9.0,25.0,1.0,35.0,12.0,125.0
219,2020-05-10,101.0,20.0,922.0,59.0,90.0,1.0,22.0,4.0,119.0
220,2020-05-10,44.0,5.0,5.0,18.0,41.0,0.0,50.0,23.0,101.0
221,2020-05-10,144.0,17.0,45.0,20.0,30.0,1.0,5.0,4.0,116.0
222,2020-05-10,22.0,4.0,0.0,2.0,2.0,0.0,168.0,60.0,242.0
223,2020-05-10,20.0,3.0,18.0,10.0,20.0,0.0,5.0,1.0,129.0
224,2020-05-10,30.0,1.0,29.0,16.0,34.0,2.0,23.0,12.0,118.0
226,2020-05-10,8.0,1.0,6.0,43.0,6.0,0.0,24.0,13.0,125.0
227,2020-05-10,24.0,2.0,49.0,20.0,7.0,1.0,84.0,37.0,113.0
228,2020-05-10,381.0,20.0,38.0,47.0,38.0,1.0,58.0,13.0,122.0
229,2020-05-10,61.0,2.0,45.0,109.0,2.0,1.0,28.0,7.0,130.0
230,2020-05-10,304.0,4.0,124.0,12.0,8.0,0.0,36.0,14.0,120.0
231,2020-05-10,30.0,3.0,9.0,4.0,8.0,2.0,67.0,12.0,104.0
232,2020-05-10,118.0,4.0,54.0,45.0,1.0,0.0,21.0,4.0,100.0
233,2020-05-10,112.0,24.0,37.0,60.0,204.0,0.0,30.0,13.0,106.0
234,2020-05-10,42.0,0.0,17.0,82.0,4.0,0.0,39.0,10.0,122.0
235,2020-05-10,105.0,28.0,142.0,50.0,20.0,0.0,44.0,15.0,106.0
236,2020-05-10,37.0,5.0,71.0,142.0,5.0,0.0,8.0,0.0,120.0
237,2020-05-10,285.0,13.0,88.0,138.0,14.0,0.0,52.0,5.0,114.0
238,2020-05-10,33.0,16.0,30.0,59.0,2.0,0.0,38.0,15.0,107.0
239,2020-05-10,22.0,4.0,14.0,7.0,3.0,0.0,10.0,7.0,102.0
240,2020-05-10,7.0,2.0,7.0,8.0,5.0,1.0,76.0,3.0,104.0
241,2020-05-10,11.0,2.0,5.0,7.0,2.0,0.0,68.0,28.0,119.0
242,2020-05-10,43.0,5.0,62.0,33.0,13.0,1.0,6.0,1.0,109.0
243,2020-05-10,227.0,11.0,247.0,255.0,12.0,0.0,56.0,22.0,127.0
244,2020-05-10,11.0,4.0,43.0,3.0,10.0,0.0,4.0,2.0,107.0
245,2020-05-10,195.0,7.0,24.0,72.0,37.0,0.0,2177.0,597.0,104.0
246,2020-05-10,36.0,4.0,19.0,7.0,2.0,0.0,81.0,28.0,122.0
247,2020-05-10,199.0,16.0,33.0,19.0,1.0,0.0,14.0,16.0,124.0
248,2020-05-10,234.0,15.0,116.0,140.0,14.0,0.0,6.0,1.0,104.0
249,2020-05-10,8.0,6.0,8.0,12.0,2.0,0.0,126.0,43.0,106.0
250,2020-05-10,105.0,8.0,8.0,55.0,3.0,0.0,4.0,1.0,119.0
251,2020-05-10,33.0,3.0,22.0,23.0,11.0,0.0,60.0,43.0,117.0
252,2020-05-10,194.0,8.0,64.0,34.0,4.0,1.0,158.0,20.0,107.0
253,2020-05-10,1.0,0.0,2.0,3.0,3.0,0.0,24.0,8.0,103.0
255,2020-05-10,63.0,11.0,18.0,64.0,10.0,0.0,19.0,1.0,115.0
256,2020-05-10,261.0,3.0,8.0,11.0,13.0,0.0,5.0,0.0,120.0
257,2020-05-10,540.0,16.0,371.0,444.0,55.0,0.0,28.0,4.0,107.0
259,2020-05-10,100.0,10.0,20.0,26.0,7.0,0.0,303.0,111.0,130.0
261,2020-05-10,45.0,11.0,44.0,36.0,8.0,1.0,34.0,6.0,114.0
263,2020-05-10,110.0,8.0,38.0,20.0,12.0,0.0,24.0,7.0,129.0
264,2020-05-10,119.0,17.0,121.0,61.0,29.0,1.0,55.0,10.0,124.0
265,2020-05-10,34.0,0.0,2.0,7.0,8.0,1.0,28.0,15.0,108.0
266,2020-05-10,174.0,11.0,14.0,26.0,6.0,0.0,138.0,49.0,127.0
267,2020-05-10,173.0,5.0,32.0,20.0,17.0,0.0,2.0,1.0,106.0
268,2020-05-10,24.0,2.0,13.0,12.0,9.0,0.0,6.0,2.0,125.0
269,2020-05-10,16.0,4.0,2.0,6.0,2.0,0.0,24.0,23.0,110.0
270,2020-05-10,81.0,3.0,44.0,22.0,22.0,0.0,559.0,233.0,130.0
271,2020-05-10,52.0,3.0,38.0,19.0,6.0,0.0,20.0,11.0,108.0
273,2020-05-10,19.0,14.0,20.0,33.0,28.0,0.0,312.0,89.0,129.0
274,2020-05-10,19.0,4.0,27.0,11.0,2.0,2.0,132.0,45.0,122.0
275,2020-05-10,169.0,9.0,114.0,38.0,22.0,0.0,2.0,1.0,114.0
276,2020-05-10,12.0,3.0,5.0,3.0,5.0,1.0,17.0,6.0,125.0
277,2020-05-10,100.0,8.0,25.0,43.0,10.0,0.0,0.0,1.0,106.0
278,2020-05-10,51.0,1.0,9.0,13.0,1.0,0.0,66.0,28.0,118.0
279,2020-05-10,964.0,16.0,208.0,110.0,21.0,1.0,44.0,3.0,130.0
280,2020-05-10,44.0,7.0,100.0,110.0,15.0,0.0,4.0,0.0,114.0
281,2020-05-10,112.0,4.0,97.0,105.0,22.0,0.0,4.0,0.0,125.0
282,2020-05-10,39.0,0.0,10.0,18.0,29.0,1.0,47.0,38.0,103.0
283,2020-05-10,64.0,60.0,102.0,39.0,27.0,0.0,105.0,45.0,118.0
284,2020-05-10,160.0,7.0,32.0,74.0,27.0,1.0,29.0,17.0,119.0
285,2020-05-10,24.0,5.0,1.0,4.0,5.0,0.0,12.0,5.0,101.0
287,2020-05-10,71.0,4.0,2.0,18.0,6.0,0.0,55.0,37.0,128.0
288,2020-05-10,353.0,3.0,5.0,37.0,6.0,0.0,16.0,2.0,113.0
289,2020-05-10,6.0,0.0,1.0,2.0,6.0,0.0,57.0,27.0,110.0
290,2020-05-10,78.0,6.0,20.0,78.0,28.0,0.0,117.0,25.0,103.0
291,2020-05-10,15.0,3.0,3.0,8.0,6.0,0.0,88.0,31.0,103.0
293,2020-05-10,15.0,13.0,13.0,101.0,18.0,1.0,149.0,59.0,125.0
294,2020-05-10,7.0,2.0,4.0,5.0,4.0,0.0,41.0,14.0,112.0
295,2020-05-10,102.0,11.0,55.0,39.0,9.0,0.0,5.0,0.0,109.0
296,2020-05-10,55.0,5.0,27.0,14.0,15.0,0.0,25.0,1.0,117.0
297,2020-05-10,296.0,6.0,160.0,188.0,52.0,2.0,11.0,5.0,112.0
298,2020-05-10,53.0,9.0,65.0,56.0,4.0,1.0,103.0,62.0,129.0
299,2020-05-10,5.0,0.0,1.0,13.0,1.0,0.0,16.0,10.0,104.0
300,2020-05-10,13.0,7.0,51.0,153.0,6.0,0.0,12.0,5.0,105.0
303,2020-05-10,154.0,6.0,50.0,27.0,35.0,0.0,296.0,110.0,104.0
305,2020-05-10,1.0,0.0,7.0,4.0,1.0,0.0,70.0,10.0,106.0
306,2020-05-10,343.0,12.0,59.0,46.0,73.0,1.0,52.0,26.0,122.0
307,2020-05-10,13.0,3.0,16.0,6.0,6.0,0.0,11.0,9.0,108.0
309,2020-05-10,5.0,2.0,18.0,4.0,0.0,3.0,1.0,0.0,118.0
311,2020-05-10,202.0,5.0,14.0,7.0,0.0,0.0,48.0,9.0,109.0
312,2020-05-10,107.0,6.0,22.0,48.0,21.0,0.0,331.0,129.0,107.0
313,2020-05-10,36.0,4.0,14.0,50.0,30.0,0.0,84.0,60.0,100.0
314,2020-05-10,126.0,6.0,26.0,11.0,20.0,0.0,47.0,8.0,101.0
315,2020-05-10,59.0,4.0,12.0,19.0,7.0,1.0,144.0,49.0,102.0
316,2020-05-10,22.0,7.0,17.0,23.0,3.0,1.0,4.0,2.0,112.0
317,2020-05-10,20.0,2.0,18.0,6.0,10.0,0.0,74.0,9.0,129.0
318,2020-05-10,46.0,10.0,30.0,86.0,28.0,0.0,34.0,12.0,242.0
321,2020-05-10,1.0,0.0,0.0,9.0,0.0,0.0,15.0,6.0,106.0
323,2020-05-10,30.0,2.0,26.0,19.0,4.0,1.0,153.0,7.0,103.0
324,2020-05-10,135.0,3.0,21.0,27.0,19.0,0.0,6.0,9.0,130.0
325,2020-05-10,642.0,35.0,538.0,399.0,16.0,1.0,70.0,10.0,129.0
326,2020-05-10,20.0,0.0,17.0,6.0,1.0,2.0,7.0,1.0,128.0
327,2020-05-10,23.0,0.0,33.0,13.0,19.0,0.0,3.0,0.0,123.0
328,2020-05-10,18.0,1.0,34.0,35.0,10.0,0.0,145.0,42.0,100.0
330,2020-05-10,24.0,3.0,2.0,18.0,18.0,0.0,109.0,59.0,126.0
331,2020-05-10,156.0,4.0,40.0,38.0,23.0,1.0,9.0,1.0,100.0
332,2020-05-10,238.0,7.0,39.0,68.0,48.0,0.0,0.0,0.0,100.0
333,2020-05-10,19.0,12.0,31.0,14.0,10.0,0.0,30.0,15.0,109.0
335,2020-05-10,17.0,2.0,24.0,16.0,4.0,0.0,25.0,9.0,122.0
336,2020-05-10,92.0,35.0,204.0,4.0,79.0,3.0,98.0,32.0,117.0
337,2020-05-10,13.0,3.0,4.0,16.0,5.0,0.0,10.0,10.0,129.0
338,2020-05-10,175.0,4.0,34.0,115.0,7.0,0.0,0.0,1.0,123.0
341,2020-05-10,4.0,1.0,16.0,18.0,11.0,0.0,63.0,45.0,110.0
342,2020-05-10,108.0,9.0,13.0,42.0,10.0,1.0,130.0,42.0,111.0
343,2020-05-10,198.0,5.0,35.0,9.0,9.0,0.0,75.0,8.0,115.0
344,2020-05-10,79.0,4.0,46.0,32.0,4.0,0.0,25.0,5.0,117.0
345,2020-05-10,42.0,2.0,25.0,14.0,6.0,0.0,26.0,4.0,109.0
346,2020-05-10,56.0,1.0,13.0,31.0,9.0,0.0,7.0,5.0,103.0
347,2020-05-10,358.0,8.0,235.0,118.0,10.0,0.0,0.0,1.0,130.0
348,2020-05-10,5.0,4.0,45.0,20.0,2.0,0.0,6.0,3.0,111.0
349,2020-05-10,36.0,6.0,15.0,17.0,4.0,0.0,6.0,1.0,100.0
350,2020-05-10,30.0,4.0,46.0,67.0,34.0,2.0,20.0,3.0,126.0
352,2020-05-10,8.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,108.0
353,2020-05-10,14.0,0.0,4.0,22.0,9.0,0.0,22.0,6.0,128.0
354,2020-05-10,21.0,2.0,5.0,4.0,8.0,0.0,34.0,15.0,103.0
355,2020-05-10,26.0,1.0,26.0,16.0,0.0,0.0,69.0,38.0,117.0
356,2020-05-10,10.0,0.0,7.0,32.0,3.0,1.0,19.0,4.0,101.0
358,2020-05-10,11.0,2.0,6.0,17.0,21.0,0.0,59.0,26.0,116.0
359,2020-05-10,14.0,0.0,9.0,5.0,2.0,1.0,30.0,16.0,114.0
360,2020-05-10,58.0,8.0,39.0,65.0,9.0,0.0,11.0,1.0,104.0
361,2020-05-10,24.0,2.0,106.0,32.0,12.0,0.0,10.0,0.0,110.0
362,2020-05-10,113.0,4.0,25.0,28.0,25.0,1.0,301.0,148.0,128.0
363,2020-05-10,98.0,10.0,48.0,28.0,12.0,0.0,32.0,4.0,242.0
364,2020-05-10,128.0,5.0,8.0,41.0,7.0,1.0,6.0,0.0,129.0
365,2020-05-10,52.0,1.0,15.0,22.0,5.0,0.0,371.0,148.0,118.0
367,2020-05-10,131.0,6.0,20.0,29.0,17.0,0.0,25.0,12.0,120.0
368,2020-05-10,20.0,4.0,14.0,12.0,2.0,0.0,33.0,18.0,107.0
